observation_date,MEANAGIWV54A052NCEN
1989-01-01,25316
1990-01-01,26436
1991-01-01,26876
1992-01-01,28118
1993-01-01,28426
1994-01-01,29426
1995-01-01,30551
1996-01-01,31372
1997-01-01,32526
1998-01-01,34015
1999-01-01,35452
2000-01-01,37121
2001-01-01,37656
2002-01-01,37693
2003-01-01,38501
2004-01-01,40457
2005-01-01,42932
2006-01-01,44277
2007-01-01,39293
2008-01-01,47205
2009-01-01,47018
2010-01-01,47949
2011-01-01,49977
2012-01-01,51187
2013-01-01,50940
2014-01-01,53262
2015-01-01,53537
2016-01-01,52464
2017-01-01,55086
2018-01-01,57993
2019-01-01,53455
2020-01-01,53109
2021-01-01,63000
2022-01-01,69000
2023-01-01,71500
