observation_date,MEANAGIWY56A052NCEN
1989-01-01,28944
1990-01-01,30226
1991-01-01,30794
1992-01-01,32166
1993-01-01,32458
1994-01-01,33465
1995-01-01,34509
1996-01-01,36996
1997-01-01,38809
1998-01-01,42783
1999-01-01,48268
2000-01-01,53698
2001-01-01,51105
2002-01-01,49825
2003-01-01,51921
2004-01-01,56665
2005-01-01,63248
2006-01-01,72630
2007-01-01,72705
2008-01-01,71231
2009-01-01,61603
2010-01-01,69093
2011-01-01,66072
2012-01-01,80314
2013-01-01,77421
2014-01-01,83590
2015-01-01,81297
2016-01-01,74558
2017-01-01,82914
2018-01-01,85691
2019-01-01,84487
2020-01-01,92786
2021-01-01,118000
2022-01-01,115000
2023-01-01,117000
