observation_date,MEHOINUSCAA672N
1984-01-01,68160
1985-01-01,70340
1986-01-01,74400
1987-01-01,74790
1988-01-01,72460
1989-01-01,75650
1990-01-01,72750
1991-01-01,70990
1992-01-01,71780
1993-01-01,68380
1994-01-01,69390
1995-01-01,71010
1996-01-01,72550
1997-01-01,72640
1998-01-01,73900
1999-01-01,77170
2000-01-01,80050
2001-01-01,79030
2002-01-01,78340
2003-01-01,79760
2004-01-01,77690
2005-01-01,79380
2006-01-01,82460
2007-01-01,81000
2008-01-01,79930
2009-01-01,79010
2010-01-01,75370
2011-01-01,71870
2012-01-01,75340
2013-01-01,79360
2014-01-01,77850
2015-01-01,81970
2016-01-01,85080
2017-01-01,87880
2018-01-01,86690
2019-01-01,94660
2020-01-01,93140
2021-01-01,93660
2022-01-01,90930
2023-01-01,92200
2024-01-01,100600
