observation_date,MEHOINUSCTA672N
1984-01-01,80730
1985-01-01,81050
1986-01-01,83920
1987-01-01,81520
1988-01-01,86630
1989-01-01,96990
1990-01-01,84950
1991-01-01,88900
1992-01-01,83990
1993-01-01,79300
1994-01-01,80710
1995-01-01,77210
1996-01-01,78730
1997-01-01,80490
1998-01-01,83960
1999-01-01,89490
2000-01-01,85780
2001-01-01,89200
2002-01-01,88170
2003-01-01,88920
2004-01-01,86960
2005-01-01,87180
2006-01-01,93020
2007-01-01,93220
2008-01-01,90680
2009-01-01,91280
2010-01-01,91640
2011-01-01,88100
2012-01-01,84880
2013-01-01,90450
2014-01-01,90300
2015-01-01,93880
2016-01-01,96930
2017-01-01,93230
2018-01-01,89550
2019-01-01,105800
2020-01-01,95280
2021-01-01,92950
2022-01-01,96720
2023-01-01,94620
2024-01-01,99240
