observation_date,MEHOINUSFLA672N
1984-01-01,53330
1985-01-01,55640
1986-01-01,58600
1987-01-01,60750
1988-01-01,60780
1989-01-01,59780
1990-01-01,58320
1991-01-01,57470
1992-01-01,56250
1993-01-01,57300
1994-01-01,57530
1995-01-01,57070
1996-01-01,57280
1997-01-01,59390
1998-01-01,63020
1999-01-01,63380
2000-01-01,66440
2001-01-01,60900
2002-01-01,62800
2003-01-01,63050
2004-01-01,63980
2005-01-01,65940
2006-01-01,68080
2007-01-01,66550
2008-01-01,62890
2009-01-01,64230
2010-01-01,61190
2011-01-01,60740
2012-01-01,60870
2013-01-01,63350
2014-01-01,59390
2015-01-01,62890
2016-01-01,65340
2017-01-01,66610
2018-01-01,67210
2019-01-01,70740
2020-01-01,69280
2021-01-01,68580
2022-01-01,69680
2023-01-01,74070
2024-01-01,75630
