observation_date,MEHOINUSIAA672N
1984-01-01,53540
1985-01-01,54550
1986-01-01,57600
1987-01-01,55050
1988-01-01,58150
1989-01-01,60190
1990-01-01,59640
1991-01-01,60210
1992-01-01,59110
1993-01-01,57520
1994-01-01,64970
1995-01-01,68150
1996-01-01,62080
1997-01-01,61820
1998-01-01,66830
1999-01-01,72690
2000-01-01,70090
2001-01-01,68520
2002-01-01,67790
2003-01-01,66950
2004-01-01,68480
2005-01-01,71320
2006-01-01,71740
2007-01-01,71080
2008-01-01,70300
2009-01-01,71390
2010-01-01,68060
2011-01-01,67630
2012-01-01,70610
2013-01-01,78530
2014-01-01,74410
2015-01-01,78380
2016-01-01,75450
2017-01-01,79630
2018-01-01,84520
2019-01-01,80050
2020-01-01,82540
2021-01-01,83160
2022-01-01,81360
2023-01-01,82950
2024-01-01,85480
