observation_date,MEHOINUSKSA672N
1984-01-01,66390
1985-01-01,59410
1986-01-01,61360
1987-01-01,63470
1988-01-01,61160
1989-01-01,61560
1990-01-01,65380
1991-01-01,61780
1992-01-01,62410
1993-01-01,59750
1994-01-01,55620
1995-01-01,58210
1996-01-01,60910
1997-01-01,66740
1998-01-01,66280
1999-01-01,66060
2000-01-01,70200
2001-01-01,69250
2002-01-01,70390
2003-01-01,71560
2004-01-01,64810
2005-01-01,64460
2006-01-01,67900
2007-01-01,70480
2008-01-01,67120
2009-01-01,62940
2010-01-01,63950
2011-01-01,62150
2012-01-01,66060
2013-01-01,62420
2014-01-01,68790
2015-01-01,70670
2016-01-01,72530
2017-01-01,71390
2018-01-01,78640
2019-01-01,88660
2020-01-01,87660
2021-01-01,87230
2022-01-01,77870
2023-01-01,87030
2024-01-01,87690
