observation_date,MEHOINUSKYA672N
1984-01-01,47660
1985-01-01,45260
1986-01-01,50970
1987-01-01,51290
1988-01-01,47620
1989-01-01,53360
1990-01-01,54160
1991-01-01,50110
1992-01-01,48300
1993-01-01,48920
1994-01-01,52230
1995-01-01,57190
1996-01-01,60590
1997-01-01,61220
1998-01-01,65450
1999-01-01,59670
2000-01-01,62010
2001-01-01,64270
2002-01-01,60710
2003-01-01,59760
2004-01-01,56200
2005-01-01,56290
2006-01-01,58860
2007-01-01,57340
2008-01-01,57690
2009-01-01,60050
2010-01-01,57070
2011-01-01,53670
2012-01-01,54280
2013-01-01,58580
2014-01-01,55070
2015-01-01,54600
2016-01-01,57920
2017-01-01,62320
2018-01-01,67100
2019-01-01,67460
2020-01-01,68080
2021-01-01,63870
2022-01-01,59560
2023-01-01,63590
2024-01-01,64790
