observation_date,MEHOINUSLAA672N
1984-01-01,51080
1985-01-01,55210
1986-01-01,53580
1987-01-01,52960
1988-01-01,49040
1989-01-01,52390
1990-01-01,48970
1991-01-01,53350
1992-01-01,52320
1993-01-01,52810
1994-01-01,50430
1995-01-01,53620
1996-01-01,56570
1997-01-01,60870
1998-01-01,57290
1999-01-01,57760
2000-01-01,52520
2001-01-01,55720
2002-01-01,56160
2003-01-01,54210
2004-01-01,57500
2005-01-01,57110
2006-01-01,54390
2007-01-01,60040
2008-01-01,55460
2009-01-01,63950
2010-01-01,54570
2011-01-01,54750
2012-01-01,51640
2013-01-01,60600
2014-01-01,54580
2015-01-01,59150
2016-01-01,53870
2017-01-01,54660
2018-01-01,61460
2019-01-01,62670
2020-01-01,61390
2021-01-01,65680
2022-01-01,62180
2023-01-01,59140
2024-01-01,60740
