observation_date,MEHOINUSMAA672N
1984-01-01,72670
1985-01-01,73530
1986-01-01,77810
1987-01-01,79980
1988-01-01,79460
1989-01-01,82700
1990-01-01,79220
1991-01-01,75310
1992-01-01,74780
1993-01-01,74380
1994-01-01,79540
1995-01-01,74010
1996-01-01,73820
1997-01-01,76900
1998-01-01,76450
1999-01-01,77830
2000-01-01,79940
2001-01-01,87370
2002-01-01,82340
2003-01-01,82440
2004-01-01,82100
2005-01-01,85920
2006-01-01,82470
2007-01-01,84970
2008-01-01,84560
2009-01-01,83570
2010-01-01,84610
2011-01-01,85260
2012-01-01,84100
2013-01-01,81620
2014-01-01,81280
2015-01-01,87410
2016-01-01,92260
2017-01-01,95660
2018-01-01,106200
2019-01-01,106300
2020-01-01,105300
2021-01-01,99390
2022-01-01,99720
2023-01-01,109300
2024-01-01,113900
