observation_date,MEHOINUSMOA672N
1984-01-01,56000
1985-01-01,57190
1986-01-01,56230
1987-01-01,58840
1988-01-01,56080
1989-01-01,60720
1990-01-01,59730
1991-01-01,58890
1992-01-01,56270
1993-01-01,57560
1994-01-01,59290
1995-01-01,66810
1996-01-01,64050
1997-01-01,66890
1998-01-01,72580
1999-01-01,73200
2000-01-01,77110
2001-01-01,69120
2002-01-01,70650
2003-01-01,70800
2004-01-01,66500
2005-01-01,65930
2006-01-01,66450
2007-01-01,66860
2008-01-01,64540
2009-01-01,68650
2010-01-01,63620
2011-01-01,61640
2012-01-01,65750
2013-01-01,60440
2014-01-01,72890
2015-01-01,76250
2016-01-01,70240
2017-01-01,70930
2018-01-01,75920
2019-01-01,73440
2020-01-01,74580
2021-01-01,73010
2022-01-01,76240
2023-01-01,80310
2024-01-01,78390
