observation_date,MEHOINUSNHA672N
1984-01-01,69850
1985-01-01,68830
1986-01-01,78350
1987-01-01,80220
1988-01-01,82830
1989-01-01,86010
1990-01-01,89180
1991-01-01,75990
1992-01-01,81100
1993-01-01,76190
1994-01-01,69220
1995-01-01,75150
1996-01-01,73660
1997-01-01,75030
1998-01-01,81170
1999-01-01,81460
2000-01-01,87070
2001-01-01,85830
2002-01-01,91360
2003-01-01,89900
2004-01-01,89670
2005-01-01,87410
2006-01-01,92370
2007-01-01,98210
2008-01-01,92770
2009-01-01,90270
2010-01-01,92520
2011-01-01,88720
2012-01-01,89600
2013-01-01,90200
2014-01-01,94470
2015-01-01,97470
2016-01-01,97360
2017-01-01,94890
2018-01-01,100000
2019-01-01,105300
2020-01-01,106600
2021-01-01,102000
2022-01-01,90580
2023-01-01,101300
2024-01-01,111800
