observation_date,MEHOINUSNJA672N
1984-01-01,74870
1985-01-01,80760
1986-01-01,81340
1987-01-01,84940
1988-01-01,86810
1989-01-01,89650
1990-01-01,84650
1991-01-01,84460
1992-01-01,80210
1993-01-01,81280
1994-01-01,83040
1995-01-01,84270
1996-01-01,88730
1997-01-01,87880
1998-01-01,89960
1999-01-01,87970
2000-01-01,86180
2001-01-01,86570
2002-01-01,90120
2003-01-01,90670
2004-01-01,87240
2005-01-01,97200
2006-01-01,101400
2007-01-01,87940
2008-01-01,91550
2009-01-01,91180
2010-01-01,87430
2011-01-01,83950
2012-01-01,88110
2013-01-01,83220
2014-01-01,83970
2015-01-01,88050
2016-01-01,87410
2017-01-01,89380
2018-01-01,91230
2019-01-01,106300
2020-01-01,102600
2021-01-01,101700
2022-01-01,98430
2023-01-01,93960
2024-01-01,103500
