observation_date,MEHOINUSNMA672N
1984-01-01,55610
1985-01-01,53240
1986-01-01,50900
1987-01-01,51500
1988-01-01,46160
1989-01-01,51800
1990-01-01,54720
1991-01-01,55970
1992-01-01,53180
1993-01-01,53700
1994-01-01,52840
1995-01-01,49870
1996-01-01,46890
1997-01-01,55060
1998-01-01,56950
1999-01-01,57620
2000-01-01,60000
2001-01-01,55390
2002-01-01,58560
2003-01-01,56790
2004-01-01,62440
2005-01-01,59740
2006-01-01,59670
2007-01-01,64460
2008-01-01,59020
2009-01-01,61290
2010-01-01,62670
2011-01-01,56540
2012-01-01,57370
2013-01-01,52430
2014-01-01,60090
2015-01-01,58110
2016-01-01,61860
2017-01-01,57210
2018-01-01,59380
2019-01-01,64370
2020-01-01,61060
2021-01-01,61380
2022-01-01,60150
2023-01-01,62560
2024-01-01,64140
