observation_date,MEHOINUSNVA672N
1984-01-01,69480
1985-01-01,60670
1986-01-01,67240
1987-01-01,66680
1988-01-01,66940
1989-01-01,67240
1990-01-01,69990
1991-01-01,69460
1992-01-01,65620
1993-01-01,71880
1994-01-01,70450
1995-01-01,69230
1996-01-01,72040
1997-01-01,71100
1998-01-01,71770
1999-01-01,73330
2000-01-01,78240
2001-01-01,75920
2002-01-01,74250
2003-01-01,73100
2004-01-01,74500
2005-01-01,73950
2006-01-01,77930
2007-01-01,78560
2008-01-01,76750
2009-01-01,72400
2010-01-01,71090
2011-01-01,63350
2012-01-01,62540
2013-01-01,67680
2014-01-01,64190
2015-01-01,66990
2016-01-01,70770
2017-01-01,72820
2018-01-01,76090
2019-01-01,85930
2020-01-01,73360
2021-01-01,73870
2022-01-01,77100
2023-01-01,83410
2024-01-01,80590
