observation_date,MEHOINUSOKA672N
1984-01-01,57000
1985-01-01,55280
1986-01-01,53730
1987-01-01,53810
1988-01-01,56620
1989-01-01,54240
1990-01-01,53290
1991-01-01,53690
1992-01-01,52000
1993-01-01,52700
1994-01-01,53010
1995-01-01,50480
1996-01-01,51290
1997-01-01,57370
1998-01-01,60890
1999-01-01,57810
2000-01-01,55450
2001-01-01,59540
2002-01-01,60210
2003-01-01,58080
2004-01-01,62520
2005-01-01,57740
2006-01-01,57890
2007-01-01,62810
2008-01-01,64640
2009-01-01,64580
2010-01-01,59850
2011-01-01,65260
2012-01-01,63960
2013-01-01,60260
2014-01-01,60750
2015-01-01,60640
2016-01-01,65040
2017-01-01,65100
2018-01-01,66950
2019-01-01,71990
2020-01-01,62940
2021-01-01,69000
2022-01-01,67630
2023-01-01,69070
2024-01-01,65310
