observation_date,MEHOINUSVTA672N
1984-01-01,60860
1985-01-01,67780
1986-01-01,63090
1987-01-01,63050
1988-01-01,69350
1989-01-01,71720
1990-01-01,67960
1991-01-01,61480
1992-01-01,67360
1993-01-01,62340
1994-01-01,70310
1995-01-01,64890
1996-01-01,60480
1997-01-01,64150
1998-01-01,71080
1999-01-01,73550
2000-01-01,67700
2001-01-01,68210
2002-01-01,71010
2003-01-01,69990
2004-01-01,74700
2005-01-01,77770
2006-01-01,77480
2007-01-01,68870
2008-01-01,71090
2009-01-01,73640
2010-01-01,77660
2011-01-01,69840
2012-01-01,73440
2013-01-01,85520
2014-01-01,78140
2015-01-01,76630
2016-01-01,77670
2017-01-01,79900
2018-01-01,86170
2019-01-01,90050
2020-01-01,80670
2021-01-01,87350
2022-01-01,76960
2023-01-01,87400
2024-01-01,85260
