Week,Fill_Type,Number_of_Tubes_First_Filled
1,Masticated_Leaves,0
1,Light_Mud,0
1,Leaves,0
1,Grass,0
2,Masticated_Leaves,0
2,Light_Mud,0
2,Leaves,0
2,Grass,0
3,Masticated_Leaves,0
3,Light_Mud,4
3,Leaves,0
3,Grass,0
4,Masticated_Leaves,2
4,Light_Mud,1
4,Leaves,0
4,Grass,0
5,Masticated_Leaves,2
5,Light_Mud,1
5,Leaves,0
5,Grass,0
6,Masticated_Leaves,4
6,Light_Mud,5
6,Leaves,0
6,Grass,0
7,Masticated_Leaves,8
7,Light_Mud,4
7,Leaves,0
7,Grass,0
8,Masticated_Leaves,1
8,Light_Mud,3
8,Leaves,0
8,Grass,3
9,Masticated_Leaves,6
9,Light_Mud,5
9,Leaves,0
9,Grass,2
10,Masticated_Leaves,0
10,Light_Mud,6
10,Leaves,0
10,Grass,3
11,Masticated_Leaves,0
11,Light_Mud,6
11,Leaves,1
11,Grass,2
12,Masticated_Leaves,0
12,Light_Mud,1
12,Leaves,7
12,Grass,0
13,Masticated_Leaves,0
13,Light_Mud,0
13,Leaves,14
13,Grass,2
14,Masticated_Leaves,0
14,Light_Mud,0
14,Leaves,11
14,Grass,7
15,Masticated_Leaves,0
15,Light_Mud,0
15,Leaves,9
15,Grass,1
16,Masticated_Leaves,0
16,Light_Mud,0
16,Leaves,8
16,Grass,2
17,Masticated_Leaves,0
17,Light_Mud,0
17,Leaves,4
17,Grass,4
18,Masticated_Leaves,0
18,Light_Mud,0
18,Leaves,3
18,Grass,2
19,Masticated_Leaves,0
19,Light_Mud,0
19,Leaves,0
19,Grass,1
20,Masticated_Leaves,0
20,Light_Mud,0
20,Leaves,0
20,Grass,0
,,
