Location,Inhabitant,Proportion_of_Fill
Arboretum,Grass-Carrying_Wasp,0
Arboretum,Potter_Wasp,0.025
Arboretum,Peg-Shaped_Sphecid,0
Arboretum,Leafcutter1,0
Arboretum,Leafcutter3,0
Arboretum,Ants,0.075
Arboretum,Spiders,0.1
Arboretum,Leafcutter2,0
Arboretum,Other_Parasites,0
Arboretum,Fly_Pupa,0.075
Arboretum,Empty,0.725
Arboretum,Other,0
Bee_Barn,Grass-Carrying_Wasp,0.09166667
Bee_Barn,Potter_Wasp,0.11666667
Bee_Barn,Peg-Shaped_Sphecid,0.08333333
Bee_Barn,Leafcutter1,0.43333333
Bee_Barn,Leafcutter3,0
Bee_Barn,Ants,0.025
Bee_Barn,Spiders,0.01666667
Bee_Barn,Leafcutter2,0
Bee_Barn,Other_Parasites,0.01666667
Bee_Barn,Fly_Pupa,0.00833333
Bee_Barn,Empty,0.20833333
Bee_Barn,Other,0
Meadow,Grass-Carrying_Wasp,0.225
Meadow,Potter_Wasp,0
Meadow,Peg-Shaped_Sphecid,0
Meadow,Leafcutter1,0.025
Meadow,Leafcutter3,0
Meadow,Ants,0.3
Meadow,Spiders,0.05
Meadow,Leafcutter2,0
Meadow,Other_Parasites,0
Meadow,Fly_Pupa,0.05
Meadow,Empty,0.35
Meadow,Other,0
NMZ,Grass-Carrying_Wasp,0.15
NMZ,Potter_Wasp,0.025
NMZ,Peg-Shaped_Sphecid,0
NMZ,Leafcutter1,0.2
NMZ,Leafcutter3,0.125
NMZ,Ants,0
NMZ,Spiders,0.1
NMZ,Leafcutter2,0.05
NMZ,Other_Parasites,0
NMZ,Fly_Pupa,0
NMZ,Empty,0.35
NMZ,Other,0
eGarden,Grass-Carrying_Wasp,0
eGarden,Potter_Wasp,0.1
eGarden,Peg-Shaped_Sphecid,0
eGarden,Leafcutter1,0
eGarden,Leafcutter3,0
eGarden,Ants,0.05
eGarden,Spiders,0.1
eGarden,Leafcutter2,0
eGarden,Other_Parasites,0
eGarden,Fly_Pupa,0
eGarden,Empty,0.55
eGarden,Other,0.2
