Location,Inhabitant ,Proportion_of_Fill
Arboretum,Potter Wasp,6
Arboretum,Leafcutter- Mp,30
Arboretum,Square-headed Wasp,8
Arboretum,Mason Bee,0
Arboretum,Grass Wasp,8
Arboretum,Parasite,3
Arboretum,Leafcutter- Leaf,1
Arboretum,Small Cell Bee,0
Arboretum,Unknown Wasp,1
E-Garden,Potter Wasp,0
E-Garden,Leafcutter- Mp,4
E-Garden,Square-headed Wasp,0
E-Garden,Mason Bee,4
E-Garden,Grass Wasp,4
E-Garden,Parasite,0
E-Garden,Leafcutter- Leaf,0
E-Garden,Small Cell Bee,0
E-Garden,Unknown Wasp,0
ISC/Greenhouse,Potter Wasp,4
ISC/Greenhouse,Leafcutter- Mp,4
ISC/Greenhouse,Square-headed Wasp,4
ISC/Greenhouse,Mason Bee,4
ISC/Greenhouse,Grass Wasp,4
ISC/Greenhouse,Parasite,4
ISC/Greenhouse,Leafcutter- Leaf,6
ISC/Greenhouse,Small Cell Bee,0
ISC/Greenhouse,Unknown Wasp,0
Island Preserve,Potter Wasp,7
Island Preserve,Leafcutter- Mp,3
Island Preserve,Square-headed Wasp,2
Island Preserve,Mason Bee,5
Island Preserve,Grass Wasp,22
Island Preserve,Parasite,7
Island Preserve,Leafcutter- Leaf,2
Island Preserve,Small Cell Bee,7
Island Preserve,Unknown Wasp,0
No Mow Zone,Potter Wasp,3
No Mow Zone,Leafcutter- Mp,0
No Mow Zone,Square-headed Wasp,0
No Mow Zone,Mason Bee,0
No Mow Zone,Grass Wasp,2
No Mow Zone,Parasite,0
No Mow Zone,Leafcutter- Leaf,2
No Mow Zone,Small Cell Bee,0
No Mow Zone,Unknown Wasp,0
