Week,Fill_Type,Number_of_Tubes_First Filled
0,Masticated_Leaves,
0,Intact_Leaves,
0,Light_Mud,
0,Grass,
0,Silk,
0,Debris,
1,Masticated_Leaves,
1,Intact_Leaves,
1,Light_Mud,2
1,Grass,1
1,Silk,
1,Debris,
2,Masticated_Leaves,
2,Intact_Leaves,
2,Light_Mud,13
2,Grass,
2,Silk,
2,Debris,4
2.5,Masticated_Leaves,
2.5,Intact_Leaves,
2.5,Light_Mud,2
2.5,Grass,
2.5,Silk,
2.5,Debris,
3.5,Masticated_Leaves,
3.5,Intact_Leaves,
3.5,Light_Mud,5
3.5,Grass,
3.5,Silk,1
3.5,Debris,
4,Masticated_Leaves,
4,Intact_Leaves,
4,Light_Mud,5
4,Grass,1
4,Silk,
4,Debris,3
5,Masticated_Leaves,
5,Intact_Leaves,
5,Light_Mud,2
5,Grass,4
5,Silk,
5,Debris,10
6,Masticated_Leaves,2
6,Intact_Leaves,
6,Light_Mud,4
6,Grass,4
6,Silk,
6,Debris,2
7,Masticated_Leaves,1
7,Intact_Leaves,
7,Light_Mud,3
7,Grass,8
7,Silk,
7,Debris,3
8,Masticated_Leaves,1
8,Intact_Leaves,3
8,Light_Mud,1
8,Grass,10
8,Silk,
8,Debris,
9,Masticated_Leaves,3
9,Intact_Leaves,
9,Light_Mud,
9,Grass,7
9,Silk,2
9,Debris,2
10,Masticated_Leaves,6
10,Intact_Leaves,
10,Light_Mud,1
10,Grass,5
10,Silk,2
10,Debris,
11,Masticated_Leaves,8
11,Intact_Leaves,
11,Light_Mud,
11,Grass,6
11,Silk,
11,Debris,
12,Masticated_Leaves,7
12,Intact_Leaves,1
12,Light_Mud,1
12,Grass,3
12,Silk,
12,Debris,1
13,Masticated_Leaves,2
13,Intact_Leaves,
13,Light_Mud,1
13,Grass,
13,Silk,2
13,Debris,4
14,Masticated_Leaves,
14,Intact_Leaves,
14,Light_Mud,4
14,Grass,2
14,Silk,1
14,Debris,1
15,Masticated_Leaves,2
15,Intact_Leaves,
15,Light_Mud,
15,Grass,
15,Silk,
15,Debris,2
16,Masticated_Leaves,2
16,Intact_Leaves,
16,Light_Mud,3
16,Grass,
16,Silk,
16,Debris,4
17,Masticated_Leaves,
17,Intact_Leaves,
17,Light_Mud,2
17,Grass,
17,Silk,1
17,Debris,4
