Week,Fill_Type,Number_of_Tubes_First Filled
0,Masticated_Leaves,0
0,Intact_Leaves,0
0,Light_Mud,0
0,Grass,0
0,Silk,0
0,Debris,0
1,Masticated_Leaves,0
1,Intact_Leaves,0
1,Light_Mud,3
1,Grass,0
1,Silk,0
1,Debris,1
2,Masticated_Leaves,0
2,Intact_Leaves,0
2,Light_Mud,12
2,Grass,0
2,Silk,1
2,Debris,8
2.5,Masticated_Leaves,0
2.5,Intact_Leaves,0
2.5,Light_Mud,3
2.5,Grass,0
2.5,Silk,0
2.5,Debris,1
3.5,Masticated_Leaves,0
3.5,Intact_Leaves,0
3.5,Light_Mud,4
3.5,Grass,0
3.5,Silk,2
3.5,Debris,2
4,Masticated_Leaves,0
4,Intact_Leaves,0
4,Light_Mud,5
4,Grass,1
4,Silk,0
4,Debris,3
5,Masticated_Leaves,1
5,Intact_Leaves,0
5,Light_Mud,4
5,Grass,4
5,Silk,0
5,Debris,6
6,Masticated_Leaves,0
6,Intact_Leaves,0
6,Light_Mud,4
6,Grass,6
6,Silk,0
6,Debris,3
7,Masticated_Leaves,3
7,Intact_Leaves,1
7,Light_Mud,4
7,Grass,9
7,Silk,0
7,Debris,1
8,Masticated_Leaves,0
8,Intact_Leaves,3
8,Light_Mud,1
8,Grass,12
8,Silk,0
8,Debris,3
9,Masticated_Leaves,4
9,Intact_Leaves,0
9,Light_Mud,1
9,Grass,7
9,Silk,2
9,Debris,2
10,Masticated_Leaves,6
10,Intact_Leaves,0
10,Light_Mud,3
10,Grass,7
10,Silk,2
10,Debris,0
11,Masticated_Leaves,9
11,Intact_Leaves,0
11,Light_Mud,0
11,Grass,7
11,Silk,0
11,Debris,0
12,Masticated_Leaves,8
12,Intact_Leaves,2
12,Light_Mud,1
12,Grass,3
12,Silk,0
12,Debris,1
13,Masticated_Leaves,7
13,Intact_Leaves,0
13,Light_Mud,2
13,Grass,0
13,Silk,2
13,Debris,6
14,Masticated_Leaves,0
14,Intact_Leaves,0
14,Light_Mud,4
14,Grass,1
14,Silk,1
14,Debris,1
15,Masticated_Leaves,0
15,Intact_Leaves,0
15,Light_Mud,2
15,Grass,0
15,Silk,0
15,Debris,2
16,Masticated_Leaves,2
16,Intact_Leaves,0
16,Light_Mud,5
16,Grass,0
16,Silk,0
16,Debris,4
17,Masticated_Leaves,0
17,Intact_Leaves,0
17,Light_Mud,4
17,Grass,0
17,Silk,2
17,Debris,7
