Week,Fill_Type,Number_of_Tubes_First Filled
1,Masticated_Leaves,0
1,Light_Mud,0
1,Grass,0
1,Silk,0
1,Debris,0
2,Masticated_Leaves,0
2,Light_Mud,1
2,Grass,0
2,Silk,1
2,Debris,0
3,Masticated_Leaves,0
3,Light_Mud,0
3,Grass,0
3,Silk,0
3,Debris,0
4,Masticated_Leaves,0
4,Light_Mud,4
4,Grass,0
4,Silk,0
4,Debris,0
7,Masticated_Leaves,0
7,Light_Mud,8
7,Grass,0
7,Silk,1
7,Debris,1
8,Masticated_Leaves,0
8,Light_Mud,11
8,Grass,3
8,Silk,1
8,Debris,0
9,Masticated_Leaves,4
9,Light_Mud,7
9,Grass,2
9,Silk,0
9,Debris,1
10,Masticated_Leaves,10
10,Light_Mud,8
10,Grass,4
10,Silk,0
10,Debris,0
11,Masticated_Leaves,4
11,Light_Mud,4
11,Grass,1
11,Silk,2
11,Debris,0
12,Masticated_Leaves,0
12,Light_Mud,2
12,Grass,2
12,Silk,1
12,Debris,0
13,Masticated_Leaves,2
13,Light_Mud,0
13,Grass,1
13,Silk,1
13,Debris,0
14,Masticated_Leaves,1
14,Light_Mud,2
14,Grass,0
14,Silk,1
14,Debris,0
15,Masticated_Leaves,0
15,Light_Mud,0
15,Grass,2
15,Silk,0
15,Debris,0
16,Masticated_Leaves,0
16,Light_Mud,0
16,Grass,5
16,Silk,0
16,Debris,0
